PHI,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Point ID,vtkValidPointMask
0.0627678,99,0.02083,0,99,0,0,1
0.0684238,99,0.0218092,0,99,0.00097917,1,1
0.0740797,99,0.0227883,0,99,0.00195834,2,1
0.0797357,99,0.0237675,0,99,0.00293751,3,1
0.0853916,99,0.0247467,0,99,0.00391668,4,1
0.0910475,99,0.0257259,0,99,0.00489585,5,1
0.0967035,99,0.026705,0,99,0.00587502,6,1
0.102359,99,0.0276842,0,99,0.00685419,7,1
0.108015,99,0.0286634,0,99,0.00783336,8,1
0.113671,99,0.0296425,0,99,0.00881253,9,1
0.119327,99,0.0306217,0,99,0.0097917,10,1
0.124983,99,0.0316009,0,99,0.0107709,11,1
0.130639,99,0.03258,0,99,0.01175,12,1
0.136295,99,0.0335592,0,99,0.0127292,13,1
0.141951,99,0.0345384,0,99,0.0137084,14,1
0.147607,99,0.0355176,0,99,0.0146876,15,1
0.153263,99,0.0364967,0,99,0.0156667,16,1
0.158919,99,0.0374759,0,99,0.0166459,17,1
0.164575,99,0.0384551,0,99,0.0176251,18,1
0.170231,99,0.0394342,0,99,0.0186042,19,1
0.175887,99,0.0404134,0,99,0.0195834,20,1
0.181543,99,0.0413926,0,99,0.0205626,21,1
0.187021,99,0.0423717,0,99,0.0215417,22,1
0.192431,99,0.0433509,0,99,0.0225209,23,1
0.197841,99,0.0443301,0,99,0.0235001,24,1
0.203251,99,0.0453092,0,99,0.0244792,25,1
0.20866,99,0.0462884,0,99,0.0254584,26,1
0.21407,99,0.0472676,0,99,0.0264376,27,1
0.21948,99,0.0482468,0,99,0.0274168,28,1
0.22489,99,0.0492259,0,99,0.0283959,29,1
0.230299,99,0.0502051,0,99,0.0293751,30,1
0.235709,99,0.0511843,0,99,0.0303543,31,1
0.241119,99,0.0521634,0,99,0.0313334,32,1
0.246529,99,0.0531426,0,99,0.0323126,33,1
0.251939,99,0.0541218,0,99,0.0332918,34,1
0.257348,99,0.055101,0,99,0.0342709,35,1
0.262758,99,0.0560801,0,99,0.0352501,36,1
0.268168,99,0.0570593,0,99,0.0362293,37,1
0.273578,99,0.0580385,0,99,0.0372085,38,1
0.278987,99,0.0590176,0,99,0.0381876,39,1
0.284397,99,0.0599968,0,99,0.0391668,40,1
0.289807,99,0.060976,0,99,0.040146,41,1
0.295217,99,0.0619551,0,99,0.0411251,42,1
0.300517,99,0.0629343,0,99,0.0421043,43,1
0.305681,99,0.0639135,0,99,0.0430835,44,1
0.310844,99,0.0648926,0,99,0.0440627,45,1
0.316008,99,0.0658718,0,99,0.0450418,46,1
0.321171,99,0.066851,0,99,0.046021,47,1
0.326335,99,0.0678302,0,99,0.0470002,48,1
0.331499,99,0.0688093,0,99,0.0479793,49,1
0.336662,99,0.0697885,0,99,0.0489585,50,1
0.341826,99,0.0707677,0,99,0.0499377,51,1
0.346989,99,0.0717468,0,99,0.0509168,52,1
0.352153,99,0.072726,0,99,0.051896,53,1
0.357316,99,0.0737052,0,99,0.0528752,54,1
0.36248,99,0.0746844,0,99,0.0538544,55,1
0.367643,99,0.0756635,0,99,0.0548335,56,1
0.372807,99,0.0766427,0,99,0.0558127,57,1
0.37797,99,0.0776219,0,99,0.0567919,58,1
0.383134,99,0.078601,0,99,0.057771,59,1
0.388297,99,0.0795802,0,99,0.0587502,60,1
0.393461,99,0.0805594,0,99,0.0597294,61,1
0.398625,99,0.0815385,0,99,0.0607085,62,1
0.403788,99,0.0825177,0,99,0.0616877,63,1
0.40891,99,0.0834969,0,99,0.0626669,64,1
0.413828,99,0.0844761,0,99,0.0636461,65,1
0.418745,99,0.0854552,0,99,0.0646252,66,1
0.423662,99,0.0864344,0,99,0.0656044,67,1
0.428579,99,0.0874136,0,99,0.0665836,68,1
0.433496,99,0.0883927,0,99,0.0675627,69,1
0.438413,99,0.0893719,0,99,0.0685419,70,1
0.44333,99,0.0903511,0,99,0.0695211,71,1
0.448247,99,0.0913302,0,99,0.0705002,72,1
0.453164,99,0.0923094,0,99,0.0714794,73,1
0.458082,99,0.0932886,0,99,0.0724586,74,1
0.462999,99,0.0942677,0,99,0.0734378,75,1
0.467916,99,0.0952469,0,99,0.0744169,76,1
0.472833,99,0.0962261,0,99,0.0753961,77,1
0.47775,99,0.0972053,0,99,0.0763753,78,1
0.482667,99,0.0981844,0,99,0.0773544,79,1
0.487584,99,0.0991636,0,99.0001,0.0783336,80,1
0.492501,99,0.100143,0,99.0001,0.0793128,81,1
0.497419,99,0.101122,0,99.0001,0.0802919,82,1
0.502336,99,0.102101,0,99.0001,0.0812711,83,1
0.507253,99,0.10308,0,99.0001,0.0822503,84,1
0.51217,99,0.104059,0,99.0001,0.0832295,85,1
0.516868,99,0.105039,0,99.0001,0.0842086,86,1
0.521539,99,0.106018,0,99.0001,0.0851878,87,1
0.52621,99,0.106997,0,99.0001,0.086167,88,1
0.530881,99,0.107976,0,99.0001,0.0871461,89,1
0.535552,99,0.108955,0,99.0001,0.0881253,90,1
0.540223,99,0.109934,0,99.0001,0.0891045,91,1
0.544894,99,0.110914,0,99.0001,0.0900836,92,1
0.549565,99,0.111893,0,99.0001,0.0910628,93,1
0.554236,99,0.112872,0,99.0001,0.092042,94,1
0.558906,99,0.113851,0,99.0001,0.0930212,95,1
0.563577,99,0.11483,0,99.0001,0.0940003,96,1
0.568248,99,0.115809,0,99.0001,0.0949795,97,1
0.572919,99,0.116789,0,99.0001,0.0959587,98,1
0.57759,99,0.117768,0,99.0001,0.0969378,99,1
0.582261,99,0.118747,0,99.0001,0.097917,100,1
0.586932,99,0.119726,0,99.0001,0.0988962,101,1
0.591603,99,0.120705,0,99.0001,0.0998753,102,1
0.596274,99,0.121685,0,99.0001,0.100855,103,1
0.600945,99,0.122664,0,99.0001,0.101834,104,1
0.605616,99,0.123643,0,99.0001,0.102813,105,1
0.610287,99,0.124622,0,99.0001,0.103792,106,1
0.614807,99,0.125601,0,99.0001,0.104771,107,1
0.619231,99,0.12658,0,99.0001,0.10575,108,1
0.623656,99,0.12756,0,99.0001,0.10673,109,1
0.628081,99,0.128539,0,99.0001,0.107709,110,1
0.632505,99,0.129518,0,99.0001,0.108688,111,1
0.63693,99,0.130497,0,99.0001,0.109667,112,1
0.641355,99,0.131476,0,99.0001,0.110646,113,1
0.645779,99,0.132455,0,99.0001,0.111625,114,1
0.650204,99,0.133435,0,99.0001,0.112605,115,1
0.654629,99,0.134414,0,99.0001,0.113584,116,1
0.659053,99,0.135393,0,99.0001,0.114563,117,1
0.663478,99,0.136372,0,99.0001,0.115542,118,1
0.667903,99,0.137351,0,99.0001,0.116521,119,1
0.672327,99,0.13833,0,99.0001,0.1175,120,1
0.676752,99,0.13931,0,99.0001,0.11848,121,1
0.681177,99,0.140289,0,99.0001,0.119459,122,1
0.685601,99,0.141268,0,99.0001,0.120438,123,1
0.690026,99,0.142247,0,99.0001,0.121417,124,1
0.694451,99,0.143226,0,99.0001,0.122396,125,1
0.698875,99,0.144205,0,99.0001,0.123375,126,1
0.7033,99,0.145185,0,99.0001,0.124355,127,1
0.707641,99,0.146164,0,99.0001,0.125334,128,1
0.711819,99,0.147143,0,99.0001,0.126313,129,1
0.715998,99,0.148122,0,99.0001,0.127292,130,1
0.720176,99,0.149101,0,99.0001,0.128271,131,1
0.724354,99,0.15008,0,99.0001,0.12925,132,1
0.728532,99,0.15106,0,99.0001,0.13023,133,1
0.73271,99,0.152039,0,99.0001,0.131209,134,1
0.736888,99,0.153018,0,99.0001,0.132188,135,1
0.741066,99,0.153997,0,99.0001,0.133167,136,1
0.745244,99,0.154976,0,99.0001,0.134146,137,1
0.749422,99,0.155955,0,99.0001,0.135125,138,1
0.7536,99,0.156935,0,99.0001,0.136105,139,1
0.757778,99,0.157914,0,99.0001,0.137084,140,1
0.761956,99,0.158893,0,99.0001,0.138063,141,1
0.766135,99,0.159872,0,99.0001,0.139042,142,1
0.770313,99,0.160851,0,99.0001,0.140021,143,1
0.774491,99,0.16183,0,99.0001,0.141,144,1
0.778669,99,0.16281,0,99.0001,0.14198,145,1
0.782847,99,0.163789,0,99.0001,0.142959,146,1
0.787025,99,0.164768,0,99.0001,0.143938,147,1
0.791203,99,0.165747,0,99.0001,0.144917,148,1
0.795366,99,0.166726,0,99.0001,0.145896,149,1
0.799298,99,0.167706,0,99.0001,0.146876,150,1
0.80323,99,0.168685,0,99.0001,0.147855,151,1
0.807162,99,0.169664,0,99.0001,0.148834,152,1
0.811094,99,0.170643,0,99.0001,0.149813,153,1
0.815027,99,0.171622,0,99.0001,0.150792,154,1
0.818959,99,0.172601,0,99.0002,0.151771,155,1
0.822891,99,0.173581,0,99.0002,0.152751,156,1
0.826823,99,0.17456,0,99.0002,0.15373,157,1
0.830755,99,0.175539,0,99.0002,0.154709,158,1
0.834687,99,0.176518,0,99.0002,0.155688,159,1
0.838619,99,0.177497,0,99.0002,0.156667,160,1
0.842551,99,0.178476,0,99.0002,0.157646,161,1
0.846483,99,0.179456,0,99.0002,0.158626,162,1
0.850415,99,0.180435,0,99.0002,0.159605,163,1
0.854347,99,0.181414,0,99.0002,0.160584,164,1
0.858279,99,0.182393,0,99.0002,0.161563,165,1
0.862211,99,0.183372,0,99.0002,0.162542,166,1
0.866143,99,0.184351,0,99.0002,0.163521,167,1
0.870075,99,0.185331,0,99.0002,0.164501,168,1
0.874007,99,0.18631,0,99.0002,0.16548,169,1
0.877939,99,0.187289,0,99.0002,0.166459,170,1
0.881678,99,0.188268,0,99.0002,0.167438,171,1
0.885364,99,0.189247,0,99.0002,0.168417,172,1
0.88905,99,0.190226,0,99.0002,0.169396,173,1
