PHI,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Point ID,vtkValidPointMask
0.0811864,2.475,0.02083,0,2.47509,0,0,1
0.0883941,2.475,0.0218092,0,2.4751,0.00097917,1,1
0.0956018,2.475,0.0227883,0,2.4751,0.00195834,2,1
0.102809,2.475,0.0237675,0,2.47511,0.00293751,3,1
0.110017,2.475,0.0247467,0,2.47512,0.00391668,4,1
0.117225,2.475,0.0257259,0,2.47513,0.00489585,5,1
0.124432,2.475,0.026705,0,2.47514,0.00587502,6,1
0.13164,2.475,0.0276842,0,2.47515,0.00685419,7,1
0.138848,2.475,0.0286634,0,2.47517,0.00783336,8,1
0.146055,2.475,0.0296425,0,2.47518,0.00881253,9,1
0.153263,2.475,0.0306217,0,2.47519,0.0097917,10,1
0.160471,2.475,0.0316009,0,2.4752,0.0107709,11,1
0.167679,2.475,0.03258,0,2.47521,0.01175,12,1
0.174886,2.475,0.0335592,0,2.47523,0.0127292,13,1
0.182094,2.475,0.0345384,0,2.47524,0.0137084,14,1
0.189302,2.475,0.0355176,0,2.47525,0.0146876,15,1
0.196509,2.475,0.0364967,0,2.47527,0.0156667,16,1
0.203717,2.475,0.0374759,0,2.47528,0.0166459,17,1
0.210925,2.475,0.0384551,0,2.4753,0.0176251,18,1
0.218132,2.475,0.0394342,0,2.47531,0.0186042,19,1
0.22534,2.475,0.0404134,0,2.47533,0.0195834,20,1
0.232548,2.475,0.0413926,0,2.47535,0.0205626,21,1
0.239438,2.475,0.0423717,0,2.47536,0.0215417,22,1
0.246206,2.475,0.0433509,0,2.47538,0.0225209,23,1
0.252973,2.475,0.0443301,0,2.4754,0.0235001,24,1
0.25974,2.475,0.0453092,0,2.47541,0.0244792,25,1
0.266508,2.475,0.0462884,0,2.47543,0.0254584,26,1
0.273275,2.475,0.0472676,0,2.47545,0.0264376,27,1
0.280042,2.475,0.0482468,0,2.47547,0.0274168,28,1
0.28681,2.475,0.0492259,0,2.47549,0.0283959,29,1
0.293577,2.475,0.0502051,0,2.47551,0.0293751,30,1
0.300345,2.475,0.0511843,0,2.47553,0.0303543,31,1
0.307112,2.475,0.0521634,0,2.47555,0.0313334,32,1
0.313879,2.475,0.0531426,0,2.47557,0.0323126,33,1
0.320647,2.475,0.0541218,0,2.47559,0.0332918,34,1
0.327414,2.475,0.055101,0,2.47561,0.0342709,35,1
0.334181,2.475,0.0560801,0,2.47564,0.0352501,36,1
0.340949,2.475,0.0570593,0,2.47566,0.0362293,37,1
0.347716,2.475,0.0580385,0,2.47568,0.0372085,38,1
0.354483,2.475,0.0590176,0,2.4757,0.0381876,39,1
0.361251,2.475,0.0599968,0,2.47573,0.0391668,40,1
0.368018,2.475,0.060976,0,2.47575,0.040146,41,1
0.374786,2.475,0.0619551,0,2.47578,0.0411251,42,1
0.381347,2.475,0.0629343,0,2.4758,0.0421043,43,1
0.387649,2.475,0.0639135,0,2.47583,0.0430835,44,1
0.393952,2.475,0.0648926,0,2.47585,0.0440627,45,1
0.400255,2.475,0.0658718,0,2.47588,0.0450418,46,1
0.406557,2.475,0.066851,0,2.4759,0.046021,47,1
0.41286,2.475,0.0678302,0,2.47593,0.0470002,48,1
0.419162,2.475,0.0688093,0,2.47596,0.0479793,49,1
0.425465,2.475,0.0697885,0,2.47598,0.0489585,50,1
0.431767,2.475,0.0707677,0,2.47601,0.0499377,51,1
0.43807,2.475,0.0717468,0,2.47604,0.0509168,52,1
0.444373,2.475,0.072726,0,2.47607,0.051896,53,1
0.450675,2.475,0.0737052,0,2.4761,0.0528752,54,1
0.456978,2.475,0.0746844,0,2.47613,0.0538544,55,1
0.46328,2.475,0.0756635,0,2.47616,0.0548335,56,1
0.469583,2.475,0.0766427,0,2.47619,0.0558127,57,1
0.475885,2.475,0.0776219,0,2.47622,0.0567919,58,1
0.482188,2.475,0.078601,0,2.47625,0.057771,59,1
0.488491,2.475,0.0795802,0,2.47628,0.0587502,60,1
0.494793,2.475,0.0805594,0,2.47631,0.0597294,61,1
0.501096,2.475,0.0815385,0,2.47634,0.0607085,62,1
0.507398,2.475,0.0825177,0,2.47638,0.0616877,63,1
0.513618,2.475,0.0834969,0,2.47641,0.0626669,64,1
0.519425,2.475,0.0844761,0,2.47644,0.0636461,65,1
0.525232,2.475,0.0854552,0,2.47647,0.0646252,66,1
0.531039,2.475,0.0864344,0,2.47651,0.0656044,67,1
0.536847,2.475,0.0874136,0,2.47654,0.0665836,68,1
0.542654,2.475,0.0883927,0,2.47658,0.0675627,69,1
0.548461,2.475,0.0893719,0,2.47661,0.0685419,70,1
0.554268,2.475,0.0903511,0,2.47665,0.0695211,71,1
0.560075,2.475,0.0913302,0,2.47668,0.0705002,72,1
0.565882,2.475,0.0923094,0,2.47672,0.0714794,73,1
0.571689,2.475,0.0932886,0,2.47676,0.0724586,74,1
0.577496,2.475,0.0942677,0,2.47679,0.0734378,75,1
0.583304,2.475,0.0952469,0,2.47683,0.0744169,76,1
0.589111,2.475,0.0962261,0,2.47687,0.0753961,77,1
0.594918,2.475,0.0972053,0,2.47691,0.0763753,78,1
0.600725,2.475,0.0981844,0,2.47695,0.0773544,79,1
0.606532,2.475,0.0991636,0,2.47699,0.0783336,80,1
0.612339,2.475,0.100143,0,2.47703,0.0793128,81,1
0.618146,2.475,0.101122,0,2.47706,0.0802919,82,1
0.623953,2.475,0.102101,0,2.47711,0.0812711,83,1
0.629761,2.475,0.10308,0,2.47715,0.0822503,84,1
0.635568,2.475,0.104059,0,2.47719,0.0832295,85,1
0.640906,2.475,0.105039,0,2.47723,0.0842086,86,1
0.646186,2.475,0.106018,0,2.47727,0.0851878,87,1
0.651467,2.475,0.106997,0,2.47731,0.086167,88,1
0.656747,2.475,0.107976,0,2.47735,0.0871461,89,1
0.662028,2.475,0.108955,0,2.4774,0.0881253,90,1
0.667308,2.475,0.109934,0,2.47744,0.0891045,91,1
0.672589,2.475,0.110914,0,2.47748,0.0900836,92,1
0.677869,2.475,0.111893,0,2.47753,0.0910628,93,1
0.68315,2.475,0.112872,0,2.47757,0.092042,94,1
0.68843,2.475,0.113851,0,2.47762,0.0930212,95,1
0.693711,2.475,0.11483,0,2.47766,0.0940003,96,1
0.698991,2.475,0.115809,0,2.47771,0.0949795,97,1
0.704272,2.475,0.116789,0,2.47775,0.0959587,98,1
0.709552,2.475,0.117768,0,2.4778,0.0969378,99,1
0.714833,2.475,0.118747,0,2.47785,0.097917,100,1
0.720113,2.475,0.119726,0,2.47789,0.0988962,101,1
0.725394,2.475,0.120705,0,2.47794,0.0998753,102,1
0.730674,2.475,0.121685,0,2.47799,0.100855,103,1
0.735955,2.475,0.122664,0,2.47804,0.101834,104,1
0.741235,2.475,0.123643,0,2.47809,0.102813,105,1
0.746516,2.475,0.124622,0,2.47814,0.103792,106,1
0.751456,2.475,0.125601,0,2.47818,0.104771,107,1
0.756184,2.475,0.12658,0,2.47823,0.10575,108,1
0.760911,2.475,0.12756,0,2.47828,0.10673,109,1
0.765638,2.475,0.128539,0,2.47834,0.107709,110,1
0.770366,2.475,0.129518,0,2.47839,0.108688,111,1
0.775093,2.475,0.130497,0,2.47844,0.109667,112,1
0.77982,2.475,0.131476,0,2.47849,0.110646,113,1
0.784547,2.475,0.132455,0,2.47854,0.111625,114,1
0.789275,2.475,0.133435,0,2.47859,0.112605,115,1
0.794002,2.475,0.134414,0,2.47865,0.113584,116,1
0.798729,2.475,0.135393,0,2.4787,0.114563,117,1
0.803456,2.475,0.136372,0,2.47875,0.115542,118,1
0.808184,2.475,0.137351,0,2.47881,0.116521,119,1
0.812911,2.475,0.13833,0,2.47886,0.1175,120,1
0.817638,2.475,0.13931,0,2.47892,0.11848,121,1
0.822366,2.475,0.140289,0,2.47897,0.119459,122,1
0.827093,2.475,0.141268,0,2.47903,0.120438,123,1
0.83182,2.475,0.142247,0,2.47908,0.121417,124,1
0.836547,2.475,0.143226,0,2.47914,0.122396,125,1
0.841275,2.475,0.144205,0,2.4792,0.123375,126,1
0.846002,2.475,0.145185,0,2.47925,0.124355,127,1
0.850537,2.475,0.146164,0,2.47931,0.125334,128,1
0.854694,2.475,0.147143,0,2.47937,0.126313,129,1
0.858852,2.475,0.148122,0,2.47943,0.127292,130,1
0.863009,2.475,0.149101,0,2.47949,0.128271,131,1
0.867166,2.475,0.15008,0,2.47955,0.12925,132,1
0.871324,2.475,0.15106,0,2.47961,0.13023,133,1
0.875481,2.475,0.152039,0,2.47967,0.131209,134,1
0.879639,2.475,0.153018,0,2.47973,0.132188,135,1
0.883796,2.475,0.153997,0,2.47979,0.133167,136,1
0.887954,2.475,0.154976,0,2.47985,0.134146,137,1
0.892111,2.475,0.155955,0,2.47991,0.135125,138,1
0.896268,2.475,0.156935,0,2.47997,0.136105,139,1
0.900426,2.475,0.157914,0,2.48003,0.137084,140,1
0.904583,2.475,0.158893,0,2.4801,0.138063,141,1
0.908741,2.475,0.159872,0,2.48016,0.139042,142,1
0.912898,2.475,0.160851,0,2.48022,0.140021,143,1
0.917055,2.475,0.16183,0,2.48028,0.141,144,1
0.921213,2.475,0.16281,0,2.48035,0.14198,145,1
0.92537,2.475,0.163789,0,2.48041,0.142959,146,1
0.929528,2.475,0.164768,0,2.48048,0.143938,147,1
0.933685,2.475,0.165747,0,2.48054,0.144917,148,1
0.937808,2.475,0.166726,0,2.48061,0.145896,149,1
0.941394,2.475,0.167706,0,2.48068,0.146876,150,1
0.94498,2.475,0.168685,0,2.48074,0.147855,151,1
0.948565,2.475,0.169664,0,2.48081,0.148834,152,1
0.952151,2.475,0.170643,0,2.48088,0.149813,153,1
0.955737,2.475,0.171622,0,2.48094,0.150792,154,1
0.959323,2.475,0.172601,0,2.48101,0.151771,155,1
0.962909,2.475,0.173581,0,2.48108,0.152751,156,1
0.966494,2.475,0.17456,0,2.48115,0.15373,157,1
