PHI,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Point ID,vtkValidPointMask
92.4556,0,0.510415,0,0.510415,0,0,1
92.4556,0.0995,0.510415,0,0.520023,0.0995,1,1
92.4556,0.199,0.510415,0,0.547836,0.199,2,1
92.4556,0.2985,0.510415,0,0.591292,0.2985,3,1
92.4556,0.398,0.510415,0,0.647246,0.398,4,1
92.4556,0.4975,0.510415,0,0.712762,0.4975,5,1
92.4369,0.597,0.510415,0,0.785451,0.597,6,1
92.4177,0.6965,0.510415,0,0.863502,0.6965,7,1
92.3985,0.796,0.510415,0,0.94559,0.796,8,1
92.3793,0.8955,0.510415,0,1.03075,0.8955,9,1
92.3602,0.995,0.510415,0,1.11828,0.995,10,1
92.3469,1.0945,0.510415,0,1.20766,1.0945,11,1
92.3339,1.194,0.510415,0,1.29852,1.194,12,1
92.3209,1.2935,0.510415,0,1.39056,1.2935,13,1
92.3079,1.393,0.510415,0,1.48357,1.393,14,1
92.2949,1.4925,0.510415,0,1.57736,1.4925,15,1
92.2853,1.592,0.510415,0,1.67182,1.592,16,1
92.2761,1.6915,0.510415,0,1.76683,1.6915,17,1
92.2668,1.791,0.510415,0,1.86231,1.791,18,1
92.2575,1.8905,0.510415,0,1.95819,1.8905,19,1
92.2482,1.99,0.510415,0,2.05442,1.99,20,1
92.2403,2.0895,0.510415,0,2.15094,2.0895,21,1
92.2326,2.189,0.510415,0,2.24772,2.189,22,1
92.2248,2.2885,0.510415,0,2.34473,2.2885,23,1
92.217,2.388,0.510415,0,2.44194,2.388,24,1
92.2093,2.4875,0.510415,0,2.53933,2.4875,25,1
92.2022,2.587,0.510415,0,2.63687,2.587,26,1
92.1952,2.6865,0.510415,0,2.73456,2.6865,27,1
92.1882,2.786,0.510415,0,2.83237,2.786,28,1
92.1812,2.8855,0.510415,0,2.9303,2.8855,29,1
92.1742,2.985,0.510415,0,3.02832,2.985,30,1
92.1676,3.0845,0.510415,0,3.12645,3.0845,31,1
92.1611,3.184,0.510415,0,3.22465,3.184,32,1
92.1546,3.2835,0.510415,0,3.32293,3.2835,33,1
92.1481,3.383,0.510415,0,3.42129,3.383,34,1
92.1416,3.4825,0.510415,0,3.51971,3.4825,35,1
92.1355,3.582,0.510415,0,3.61818,3.582,36,1
92.1294,3.6815,0.510415,0,3.71671,3.6815,37,1
92.1233,3.781,0.510415,0,3.8153,3.781,38,1
92.1171,3.8805,0.510415,0,3.91392,3.8805,39,1
92.111,3.98,0.510415,0,4.0126,3.98,40,1
92.1051,4.0795,0.510415,0,4.11131,4.0795,41,1
92.0993,4.179,0.510415,0,4.21006,4.179,42,1
92.0935,4.2785,0.510415,0,4.30884,4.2785,43,1
92.0876,4.378,0.510415,0,4.40765,4.378,44,1
92.0818,4.4775,0.510415,0,4.5065,4.4775,45,1
92.0762,4.577,0.510415,0,4.60537,4.577,46,1
92.0706,4.6765,0.510415,0,4.70427,4.6765,47,1
92.065,4.776,0.510415,0,4.8032,4.776,48,1
92.0595,4.8755,0.510415,0,4.90214,4.8755,49,1
92.0539,4.975,0.510415,0,5.00111,4.975,50,1
92.0485,5.0745,0.510415,0,5.10011,5.0745,51,1
92.0431,5.174,0.510415,0,5.19911,5.174,52,1
92.0377,5.2735,0.510415,0,5.29814,5.2735,53,1
