PHI,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Point ID,vtkValidPointMask
0.0626385,20.4167,0.02083,0,20.4167,0,0,1
0.0682813,20.4167,0.0218092,0,20.4167,0.00097917,1,1
0.0739241,20.4167,0.0227883,0,20.4167,0.00195834,2,1
0.0795669,20.4167,0.0237675,0,20.4167,0.00293751,3,1
0.0852097,20.4167,0.0247467,0,20.4167,0.00391668,4,1
0.0908525,20.4167,0.0257259,0,20.4167,0.00489585,5,1
0.0964953,20.4167,0.026705,0,20.4167,0.00587502,6,1
0.102138,20.4167,0.0276842,0,20.4167,0.00685419,7,1
0.107781,20.4167,0.0286634,0,20.4167,0.00783336,8,1
0.113424,20.4167,0.0296425,0,20.4167,0.00881253,9,1
0.119066,20.4167,0.0306217,0,20.4167,0.0097917,10,1
0.124709,20.4167,0.0316009,0,20.4167,0.0107709,11,1
0.130352,20.4167,0.03258,0,20.4167,0.01175,12,1
0.135995,20.4167,0.0335592,0,20.4167,0.0127292,13,1
0.141638,20.4167,0.0345384,0,20.4167,0.0137084,14,1
0.14728,20.4167,0.0355176,0,20.4167,0.0146876,15,1
0.152923,20.4167,0.0364967,0,20.4167,0.0156667,16,1
0.158566,20.4167,0.0374759,0,20.4167,0.0166459,17,1
0.164209,20.4167,0.0384551,0,20.4167,0.0176251,18,1
0.169852,20.4167,0.0394342,0,20.4167,0.0186042,19,1
0.175494,20.4167,0.0404134,0,20.4167,0.0195834,20,1
0.181137,20.4167,0.0413926,0,20.4167,0.0205626,21,1
0.186602,20.4167,0.0423717,0,20.4167,0.0215417,22,1
0.191998,20.4167,0.0433509,0,20.4167,0.0225209,23,1
0.197394,20.4167,0.0443301,0,20.4167,0.0235001,24,1
0.202789,20.4167,0.0453092,0,20.4167,0.0244792,25,1
0.208185,20.4167,0.0462884,0,20.4168,0.0254584,26,1
0.213581,20.4167,0.0472676,0,20.4168,0.0264376,27,1
0.218976,20.4167,0.0482468,0,20.4168,0.0274168,28,1
0.224372,20.4167,0.0492259,0,20.4168,0.0283959,29,1
0.229768,20.4167,0.0502051,0,20.4168,0.0293751,30,1
0.235164,20.4167,0.0511843,0,20.4168,0.0303543,31,1
0.240559,20.4167,0.0521634,0,20.4168,0.0313334,32,1
0.245955,20.4167,0.0531426,0,20.4168,0.0323126,33,1
0.251351,20.4167,0.0541218,0,20.4168,0.0332918,34,1
0.256747,20.4167,0.055101,0,20.4168,0.0342709,35,1
0.262142,20.4167,0.0560801,0,20.4168,0.0352501,36,1
0.267538,20.4167,0.0570593,0,20.4168,0.0362293,37,1
0.272934,20.4167,0.0580385,0,20.4168,0.0372085,38,1
0.278329,20.4167,0.0590176,0,20.4168,0.0381876,39,1
0.283725,20.4167,0.0599968,0,20.4168,0.0391668,40,1
0.289121,20.4167,0.060976,0,20.4168,0.040146,41,1
0.294517,20.4167,0.0619551,0,20.4168,0.0411251,42,1
0.299803,20.4167,0.0629343,0,20.4168,0.0421043,43,1
0.304951,20.4167,0.0639135,0,20.4168,0.0430835,44,1
0.3101,20.4167,0.0648926,0,20.4168,0.0440627,45,1
0.315248,20.4167,0.0658718,0,20.4168,0.0450418,46,1
0.320397,20.4167,0.066851,0,20.4168,0.046021,47,1
0.325546,20.4167,0.0678302,0,20.4168,0.0470002,48,1
0.330694,20.4167,0.0688093,0,20.4168,0.0479793,49,1
0.335843,20.4167,0.0697885,0,20.4168,0.0489585,50,1
0.340991,20.4167,0.0707677,0,20.4168,0.0499377,51,1
0.34614,20.4167,0.0717468,0,20.4168,0.0509168,52,1
0.351289,20.4167,0.072726,0,20.4168,0.051896,53,1
0.356437,20.4167,0.0737052,0,20.4168,0.0528752,54,1
0.361586,20.4167,0.0746844,0,20.4168,0.0538544,55,1
0.366734,20.4167,0.0756635,0,20.4168,0.0548335,56,1
0.371883,20.4167,0.0766427,0,20.4168,0.0558127,57,1
0.377032,20.4167,0.0776219,0,20.4168,0.0567919,58,1
0.38218,20.4167,0.078601,0,20.4169,0.057771,59,1
0.387329,20.4167,0.0795802,0,20.4169,0.0587502,60,1
0.392477,20.4167,0.0805594,0,20.4169,0.0597294,61,1
0.397626,20.4167,0.0815385,0,20.4169,0.0607085,62,1
0.402775,20.4167,0.0825177,0,20.4169,0.0616877,63,1
0.407882,20.4167,0.0834969,0,20.4169,0.0626669,64,1
0.412783,20.4167,0.0844761,0,20.4169,0.0636461,65,1
0.417684,20.4167,0.0854552,0,20.4169,0.0646252,66,1
0.422585,20.4167,0.0864344,0,20.4169,0.0656044,67,1
0.427487,20.4167,0.0874136,0,20.4169,0.0665836,68,1
0.432388,20.4167,0.0883927,0,20.4169,0.0675627,69,1
0.437289,20.4167,0.0893719,0,20.4169,0.0685419,70,1
0.44219,20.4167,0.0903511,0,20.4169,0.0695211,71,1
0.447091,20.4167,0.0913302,0,20.4169,0.0705002,72,1
0.451992,20.4167,0.0923094,0,20.4169,0.0714794,73,1
0.456894,20.4167,0.0932886,0,20.4169,0.0724586,74,1
0.461795,20.4167,0.0942677,0,20.4169,0.0734378,75,1
0.466696,20.4167,0.0952469,0,20.4169,0.0744169,76,1
0.471597,20.4167,0.0962261,0,20.4169,0.0753961,77,1
0.476498,20.4167,0.0972053,0,20.4169,0.0763753,78,1
0.4814,20.4167,0.0981844,0,20.4169,0.0773544,79,1
0.486301,20.4167,0.0991636,0,20.4169,0.0783336,80,1
0.491202,20.4167,0.100143,0,20.4169,0.0793128,81,1
0.496103,20.4167,0.101122,0,20.417,0.0802919,82,1
0.501004,20.4167,0.102101,0,20.417,0.0812711,83,1
0.505906,20.4167,0.10308,0,20.417,0.0822503,84,1
0.510807,20.4167,0.104059,0,20.417,0.0832295,85,1
