PHI,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Point ID,vtkValidPointMask
1,0,0.510415,0,0.510415,0,0,1
1.00238,0.0204167,0.510415,0,0.510823,0.0204167,1,1
1.00476,0.0408334,0.510415,0,0.512046,0.0408334,2,1
1.00715,0.0612501,0.510415,0,0.514077,0.0612501,3,1
1.00953,0.0816668,0.510415,0,0.516907,0.0816668,4,1
1.01191,0.102084,0.510415,0,0.520523,0.102084,5,1
1.01429,0.1225,0.510415,0,0.524909,0.1225,6,1
1.01668,0.142917,0.510415,0,0.530046,0.142917,7,1
1.01906,0.163334,0.510415,0,0.535912,0.163334,8,1
1.02144,0.18375,0.510415,0,0.542483,0.18375,9,1
1.02382,0.204167,0.510415,0,0.549734,0.204167,10,1
1.02726,0.224584,0.510415,0,0.557639,0.224584,11,1
1.03097,0.245,0.510415,0,0.56617,0.245,12,1
1.03468,0.265417,0.510415,0,0.5753,0.265417,13,1
1.03839,0.285834,0.510415,0,0.585,0.285834,14,1
1.0421,0.306251,0.510415,0,0.595242,0.306251,15,1
1.04581,0.326667,0.510415,0,0.605999,0.326667,16,1
1.04952,0.347084,0.510415,0,0.617244,0.347084,17,1
1.05324,0.367501,0.510415,0,0.628952,0.367501,18,1
1.05695,0.387917,0.510415,0,0.641095,0.387917,19,1
1.06066,0.408334,0.510415,0,0.653651,0.408334,20,1
1.06413,0.428751,0.510415,0,0.666596,0.428751,21,1
1.06744,0.449167,0.510415,0,0.679908,0.449167,22,1
1.07074,0.469584,0.510415,0,0.693565,0.469584,23,1
1.07405,0.490001,0.510415,0,0.707548,0.490001,24,1
1.07736,0.510418,0.510415,0,0.721838,0.510418,25,1
1.08067,0.530834,0.510415,0,0.736416,0.530834,26,1
1.08397,0.551251,0.510415,0,0.751266,0.551251,27,1
1.08728,0.571668,0.510415,0,0.766373,0.571668,28,1
1.09059,0.592084,0.510415,0,0.781721,0.592084,29,1
1.0939,0.612501,0.510415,0,0.797296,0.612501,30,1
1.09696,0.632918,0.510415,0,0.813086,0.632918,31,1
1.09965,0.653334,0.510415,0,0.829077,0.653334,32,1
1.10234,0.673751,0.510415,0,0.84526,0.673751,33,1
1.10503,0.694168,0.510415,0,0.861622,0.694168,34,1
1.10772,0.714585,0.510415,0,0.878154,0.714585,35,1
1.11041,0.735001,0.510415,0,0.894846,0.735001,36,1
1.1131,0.755418,0.510415,0,0.911691,0.755418,37,1
1.11579,0.775835,0.510415,0,0.928678,0.775835,38,1
1.11848,0.796251,0.510415,0,0.945801,0.796251,39,1
1.12117,0.816668,0.510415,0,0.963053,0.816668,40,1
1.12377,0.837085,0.510415,0,0.980426,0.837085,41,1
1.12601,0.857501,0.510415,0,0.997914,0.857501,42,1
1.12824,0.877918,0.510415,0,1.01551,0.877918,43,1
1.13048,0.898335,0.510415,0,1.03321,0.898335,44,1
1.13272,0.918752,0.510415,0,1.05101,0.918752,45,1
1.13495,0.939168,0.510415,0,1.06891,0.939168,46,1
1.13719,0.959585,0.510415,0,1.08689,0.959585,47,1
1.13943,0.980002,0.510415,0,1.10496,0.980002,48,1
1.14166,1.00042,0.510415,0,1.1231,1.00042,49,1
1.1439,1.02084,0.510415,0,1.14133,1.02084,50,1
1.14613,1.04125,0.510415,0,1.15962,1.04125,51,1
1.14808,1.06167,0.510415,0,1.17799,1.06167,52,1
1.15003,1.08209,0.510415,0,1.19642,1.08209,53,1
1.15197,1.1025,0.510415,0,1.21492,1.1025,54,1
1.15391,1.12292,0.510415,0,1.23348,1.12292,55,1
1.15586,1.14334,0.510415,0,1.25209,1.14334,56,1
1.1578,1.16375,0.510415,0,1.27076,1.16375,57,1
1.15974,1.18417,0.510415,0,1.28949,1.18417,58,1
1.16169,1.20459,0.510415,0,1.30826,1.20459,59,1
1.16363,1.225,0.510415,0,1.32708,1.225,60,1
1.16557,1.24542,0.510415,0,1.34595,1.24542,61,1
1.16737,1.26584,0.510415,0,1.36487,1.26584,62,1
1.16912,1.28625,0.510415,0,1.38382,1.28625,63,1
1.17087,1.30667,0.510415,0,1.40282,1.30667,64,1
1.17261,1.32709,0.510415,0,1.42186,1.32709,65,1
1.17436,1.3475,0.510415,0,1.44093,1.3475,66,1
1.17611,1.36792,0.510415,0,1.46004,1.36792,67,1
1.17786,1.38834,0.510415,0,1.47919,1.38834,68,1
1.17961,1.40875,0.510415,0,1.49837,1.40875,69,1
1.18136,1.42917,0.510415,0,1.51758,1.42917,70,1
1.18311,1.44959,0.510415,0,1.53682,1.44959,71,1
1.18478,1.47,0.510415,0,1.55609,1.47,72,1
1.1864,1.49042,0.510415,0,1.5754,1.49042,73,1
1.18801,1.51084,0.510415,0,1.59473,1.51084,74,1
1.18962,1.53125,0.510415,0,1.61408,1.53125,75,1
1.19124,1.55167,0.510415,0,1.63346,1.55167,76,1
1.19285,1.57209,0.510415,0,1.65287,1.57209,77,1
1.19447,1.5925,0.510415,0,1.6723,1.5925,78,1
1.19608,1.61292,0.510415,0,1.69175,1.61292,79,1
1.19769,1.63334,0.510415,0,1.71123,1.63334,80,1
1.19931,1.65375,0.510415,0,1.73073,1.65375,81,1
1.20088,1.67417,0.510415,0,1.75025,1.67417,82,1
1.20239,1.69459,0.510415,0,1.76979,1.69459,83,1
1.2039,1.715,0.510415,0,1.78935,1.715,84,1
1.20541,1.73542,0.510415,0,1.80892,1.73542,85,1
1.20692,1.75584,0.510415,0,1.82852,1.75584,86,1
1.20843,1.77625,0.510415,0,1.84813,1.77625,87,1
1.20994,1.79667,0.510415,0,1.86776,1.79667,88,1
1.21145,1.81709,0.510415,0,1.88741,1.81709,89,1
1.21296,1.8375,0.510415,0,1.90708,1.8375,90,1
1.21447,1.85792,0.510415,0,1.92676,1.85792,91,1
1.21596,1.87834,0.510415,0,1.94645,1.87834,92,1
1.21738,1.89875,0.510415,0,1.96616,1.89875,93,1
1.21881,1.91917,0.510415,0,1.98588,1.91917,94,1
1.22023,1.93959,0.510415,0,2.00562,1.93959,95,1
1.22165,1.96,0.510415,0,2.02537,1.96,96,1
1.22307,1.98042,0.510415,0,2.04514,1.98042,97,1
1.22449,2.00084,0.510415,0,2.06491,2.00084,98,1
1.22592,2.02125,0.510415,0,2.0847,2.02125,99,1
1.22734,2.04167,0.510415,0,2.1045,2.04167,100,1
1.22876,2.06209,0.510415,0,2.12432,2.06209,101,1
1.23018,2.0825,0.510415,0,2.14414,2.0825,102,1
