PHI,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Point ID,vtkValidPointMask
0.0777966,3.40278,0.0208333,0,3.40284,0,0,1
0.0847189,3.40278,0.0218125,0,3.40285,0.000979166,1,1
0.0916412,3.40278,0.0227917,0,3.40286,0.00195833,2,1
0.0985635,3.40278,0.0237708,0,3.40286,0.0029375,3,1
0.105486,3.40278,0.02475,0,3.40287,0.00391667,4,1
0.112408,3.40278,0.0257292,0,3.40288,0.00489583,5,1
0.11933,3.40278,0.0267083,0,3.40288,0.005875,6,1
0.126253,3.40278,0.0276875,0,3.40289,0.00685417,7,1
0.133175,3.40278,0.0286667,0,3.4029,0.00783333,8,1
0.140097,3.40278,0.0296458,0,3.40291,0.0088125,9,1
0.14702,3.40278,0.030625,0,3.40292,0.00979167,10,1
0.153942,3.40278,0.0316042,0,3.40293,0.0107708,11,1
0.160864,3.40278,0.0325833,0,3.40294,0.01175,12,1
0.167786,3.40278,0.0335625,0,3.40295,0.0127292,13,1
0.174709,3.40278,0.0345417,0,3.40296,0.0137083,14,1
0.181631,3.40278,0.0355208,0,3.40297,0.0146875,15,1
0.188553,3.40278,0.0365,0,3.40298,0.0156667,16,1
0.195476,3.40278,0.0374792,0,3.40299,0.0166458,17,1
0.202398,3.40278,0.0384583,0,3.403,0.017625,18,1
0.20932,3.40278,0.0394375,0,3.40301,0.0186042,19,1
0.216242,3.40278,0.0404167,0,3.40302,0.0195833,20,1
0.223165,3.40278,0.0413958,0,3.40303,0.0205625,21,1
0.229798,3.40278,0.042375,0,3.40304,0.0215417,22,1
0.236321,3.40278,0.0433542,0,3.40306,0.0225208,23,1
0.242844,3.40278,0.0443333,0,3.40307,0.0235,24,1
0.249366,3.40278,0.0453125,0,3.40308,0.0244792,25,1
0.255889,3.40278,0.0462917,0,3.40309,0.0254583,26,1
0.262412,3.40278,0.0472708,0,3.40311,0.0264375,27,1
0.268935,3.40278,0.04825,0,3.40312,0.0274167,28,1
0.275457,3.40278,0.0492292,0,3.40314,0.0283958,29,1
0.28198,3.40278,0.0502083,0,3.40315,0.029375,30,1
